bug_id1,bug1,bug_id2,bug2,label
13155202,"Support pushing arrow batches through org.apache.arrow.vector.ipc.ArrowOutputStream in LllapOutputFormatService. 
 Support ArrowOutputStream in LlapOutputFormatService",13158906,"Arrow batch serializer doesn't handle null values well in complex nested data types. 
 Null value error with complex nested data type in Arrow batch serializer",yes
13247213,"YARN UI2 shows ""Pending, Allocated, Reserved Containers"" information for fair scheduler. In here, pending container information is not printed. UI2 shows "",0,0"" instead ""0,0,0"".
In UI1, This same information is displayed as Num of active Application & Pending applications.
Num Active Applications:	0
Num Pending Applications:	0
It's not clear from UI2 what do we intend to show in ""Pending, Allocated, Reserved Containers""? Is it really containers or apps? 
 [UI2] Fix Pending, Allocated, Reserved Containers information for Fair Scheduler",13239486,"There are a few issues with the apps page for a queue when Fair Scheduler is used.

Labels like configured capacity, configured max capacity etc. (marked in the attached image) are not needed as they are specific to Capacity Scheduler.
Steady fair memory,used memoryandmaximum memory are actual values but are shown as percentages.
Formatting ofPending, Allocated, Reserved Containers values is not correct (shown in the attached screenshot)

 
 UI2 - Fair scheduler queue apps page issues",yes
13204875,"For example, if we define a aux service with name A, and it's class is pkg.class.A
It should be loading from yarn.nodemanager.aux-services.A.system-classes, but currently it is loading from yarn.nodemanager.aux-services.pkg.class.A.system-classes now. 
 Aux service system-class is loading from a wrong property",13201705,"It would be useful to support adding, removing, or updating auxiliary services without requiring a restart of NMs. 
 Dynamically add or remove auxiliary services",yes
13324802,"unit test failed of org.apache.hadoop.fs.contract.AbstractContractMultipartUploaderTest#testConcurrentUploads.
Exception:


java.lang.IllegalArgumentExceptionjava.lang.IllegalArgumentException at com.google.common.base.Preconditions.checkArgument(Preconditions.java:127) at org.apache.hadoop.test.LambdaTestUtils$ProportionalRetryInterval.<init>(LambdaTestUtils.java:907) at org.apache.hadoop.fs.contract.AbstractContractMultipartUploaderTest.testConcurrentUploads(AbstractContractMultipartUploaderTest.java:815)

Reason:


public ProportionalRetryInterval(int intervalMillis,
    int maxIntervalMillis) {
  Preconditions.checkArgument(intervalMillis > 0);
  Preconditions.checkArgument(maxIntervalMillis > 0);
  this.intervalMillis = intervalMillis;
  this.current = intervalMillis;
  this.maxIntervalMillis = maxIntervalMillis;
}

The constructor of ProportionalRetryInterval requires maxIntervalMillis> 0. But TestHDFSContractMultipartUploader does not override the timeToBecomeConsistentMillis method, so maxIntervalMillis = 0 
 Fix unit test of HDFS-13934",13316762,"TestHDFSContractMultipartUploader fails on trunk with IllegalArgumentException


[ERROR] testConcurrentUploads(org.apache.hadoop.fs.contract.hdfs.TestHDFSContractMultipartUploader)  Time elapsed: 0.127 s  <<< ERROR!
java.lang.IllegalArgumentException
	at com.google.common.base.Preconditions.checkArgument(Preconditions.java:127)
	at org.apache.hadoop.test.LambdaTestUtils$ProportionalRetryInterval.<init>(LambdaTestUtils.java:907)
	at org.apache.hadoop.fs.contract.AbstractContractMultipartUploaderTest.testConcurrentUploads(AbstractContractMultipartUploaderTest.java:815)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26)
	at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27)
	at org.junit.rules.TestWatcher$1.evaluate(TestWatcher.java:55)
	at org.junit.internal.runners.statements.FailOnTimeout$CallableStatement.call(FailOnTimeout.java:298)
	at org.junit.internal.runners.statements.FailOnTimeout$CallableStatement.call(FailOnTimeout.java:292)
	at java.util.concurrent.FutureTask.run(FutureTask.java:266)
	at java.lang.Thread.run(Thread.java:748)


 
 TestHDFSContractMultipartUploader fails on trunk",yes
13164188,"

Inconsistent synchronization of org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.AllocationFileLoaderService.reloadListener; locked 75% of time Bug type IS2_INCONSISTENT_SYNC (click for details) In class org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.AllocationFileLoaderService Field org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.AllocationFileLoaderService.reloadListener Synchronized 75% of the time Unsynchronized access at AllocationFileLoaderService.java:[line 117] Synchronized access at AllocationFileLoaderService.java:[line 212] Synchronized access at AllocationFileLoaderService.java:[line 228] Synchronized access at AllocationFileLoaderService.java:[line 269]

 
 Findbugs warning IS2_INCONSISTENT_SYNC in AllocationFileLoaderService.reloadListener",13165507,"This is reported by findbugs. See: https://builds.apache.org/job/PreCommit-YARN-Build/21007/artifact/out/branch-findbugs-hadoop-yarn-project_hadoop-yarn_hadoop-yarn-server_hadoop-yarn-server-resourcemanager-warnings.html

Inconsistent synchronization of org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.AllocationFileLoaderService.reloadListener; locked 75% of time

 
 Multithreaded correctness Warning occurs in AllocationFileLoaderService",yes
13210940,"Nodemanager will not start
1. If Autodiscovery is enabled:

If nvidia-smi path is misconfigured or the file does not exist.
There is 0 GPU found
If the file exists but it is not pointing to an nvidia-smi
if the binary is ok but there is an IOException

2. If the manuallyconfiguredGPU devices are misconfigured

Any index:minornumber format failure will cause a problem
0 configured device will cause a problem
NumberFormatException is not handled

It would be a better option to add warnings about the configuration, set 0 available GPUs and let the node work and run non-gpujobs. 
 Backport HBASE-21279 (Split TestAdminShell into several tests) to branch-2",13279620,"

insert into b values(1);


List<LockComponent> lockComponents = AcidUtils.makeLockComponents(plan.getOutputs(), plan.getInputs(), conf);
plan.getInputs() contains single entry <_dummy_database@_dummy_table>
 
 Do not acquire read lock for dummy input",No
13210940,"Nodemanager will not start
1. If Autodiscovery is enabled:

If nvidia-smi path is misconfigured or the file does not exist.
There is 0 GPU found
If the file exists but it is not pointing to an nvidia-smi
if the binary is ok but there is an IOException

2. If the manuallyconfiguredGPU devices are misconfigured

Any index:minornumber format failure will cause a problem
0 configured device will cause a problem
NumberFormatException is not handled

It would be a better option to add warnings about the configuration, set 0 available GPUs and let the node work and run non-gpujobs. 
 Backport HBASE-21279 (Split TestAdminShell into several tests) to branch-2",13160335,"Add some useful stuff and some refinement to PE tool
1. Add multiPut support
Though we have BufferedMutator, sometimes we need to benchmark batch put in a certain number.
Set --multiPut=number to enable batchput(meanwhile, --autoflush need be set to false)
2. Add Connection Number support
Before, there is only on parameter to control the connection used by threads. oneCon=true means all threads use one connection, false means each thread has it own connection.
When thread number is high and oneCon=false, we noticed high context switch frequency in the machine which PE run on, disturbing the benchmark results(each connection has its own netty worker threads, 2*CPU IIRC).  
So, added a new parameter connCount to PE. set --connCount=2 means all threads will share 2 connections.
3. Add avg RT and avg TPS/QPS statstic for all threads
Useful when we want to meansure the total throughtput of the cluster
4. Delete some redundant code
Now RandomWriteTest is inherited from SequentialWrite. 
 Add multiPut support and other miscellaneous to PE",No
13185672,"In JDK10, sun.net.dns.ResolverConfiguration is encapsulated and not accessible from unnamed modules. This issue is to remove the usage of ResolverConfiguration. 
 [JDK10] Migrate from sun.net.dns.ResolverConfiguration to the replacement",13185726,"./dev-support/bin/hadoop.sh
PATCH_NAMING_RULE=""https://wiki.apache.org/hadoop/HowToContribute""


https://wiki.apache.org/hadoop/HowToContribute was moved to https://cwiki.apache.org/confluence/display/HADOOP/How+To+Contribute. Let's update the personality. 
 Update PATCH_NAMING_RULE in the personality file",No
13180937,"There is no directory created as ""DS_APP_ATTEMPT"" so
#Assert.assertTrue(outputDirForEntity.isDirectory()) returning false


org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.testDSShellWithoutDomainV2
Stacktrace
java.lang.AssertionError at org.junit.Assert.fail(Assert.java:86) at org.junit.Assert.assertTrue(Assert.java:41) at org.junit.Assert.assertTrue(Assert.java:52) at org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.verifyEntityTypeFileExists(TestDistributedShell.java:628)

org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.testDSShellWithoutDomainV2CustomizedFlow
 Failing for the past 10 builds (Since#29 )
 
Stacktrace
java.lang.AssertionError at org.junit.Assert.fail(Assert.java:86) at org.junit.Assert.assertTrue(Assert.java:41) at org.junit.Assert.assertTrue(Assert.java:52) at org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.verifyEntityTypeFileExists(TestDistributedShell.java:628)

org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.testDSShellWithoutDomainV2DefaultFlow
 
 
 Stacktrace
 java.lang.AssertionError at org.junit.Assert.fail(Assert.java:86) at org.junit.Assert.assertTrue(Assert.java:41) at org.junit.Assert.assertTrue(Assert.java:52) at org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.verifyEntityTypeFileExists(TestDistributedShell.java:628) 
 TestDistributedShell test cases failing giving assertion error",13172117,"These tests have been failing for a while in trunk:



testDSShellWithoutDomainV2
1 min 20 sec
Failed


testDSShellWithoutDomainV2CustomizedFlow
1 min 20 sec
Failed


testDSShellWithoutDomainV2DefaultFlow
1 min 20 sec
Failed



The root causes are the same:


java.lang.AssertionError
	at org.junit.Assert.fail(Assert.java:86)
	at org.junit.Assert.assertTrue(Assert.java:41)
	at org.junit.Assert.assertTrue(Assert.java:52)
	at org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.verifyEntityTypeFileExists(TestDistributedShell.java:628)
	at org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.checkTimelineV2(TestDistributedShell.java:546)
	at org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.testDSShell(TestDistributedShell.java:451)
	at org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.testDSShell(TestDistributedShell.java:310)
	at org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell.testDSShellWithoutDomainV2(TestDistributedShell.java:306)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26)
	at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27)
	at org.junit.rules.TestWatcher$1.evaluate(TestWatcher.java:55)
	at org.junit.internal.runners.statements.FailOnTimeout$StatementThread.run(FailOnTimeout.java:74)
 
 Fix DistributedShell unit tests",yes
13216663,"before HIVE-18908; there was a baseForward (non vectorized) and vectorForward (vectorized); and both of them have accounted for the number of rows correctly - after HIVE-18908 this have changed to count vectorized batches in case of vectorized execution.
relevant part of Operator.java
[counters are dropping to 1|
https://github.com/apache/hive/commit/a37827ecd557c7f7d69f3b2ccdbf6535908b1461#diff-e70a9d33150346fe8b9b7d719d677b97L356] 
 Runtime rowcount calculation is incorrect in vectorized executions",13200233,"see history of ./ql/src/test/results/clientpositive/stat_estimate_drill.q.out 
 Drilldown estimates are highly off after HIVE-18908",yes
13254526,"When trying to launch the infrastructure application to begin the startup of the internal HDFS cluster as shown in the Manual Workload Launch section in here



$ ./dynamometer-infra/bin/start-dynamometer-cluster.sh \
 -hadoop_binary_path hadoop-3.0.2.tar.gz \
 -conf_path my-hadoop-conf \
 -fs_image_dir hdfs:///fsimage \
 -block_list_path hdfs:///dyno/blocks



 its usage is always shown even if correct arguments are given, if `-hadoop_binary_path` is placed as a first argument for the script. 
 [Dynamometer] start-dynamometer-cluster.sh shows its usage even if correct arguments are given.",13140688,"The assignment of version,suite and keyName should happen lazily, right before it's used in case the fileXAttr is null 
 Change the code order in getFileEncryptionInfo to avoid unnecessary call of assignment",No
13219452,"When implementing HBASE-21717, I found that AccessController will use the Admin interface to get table descriptors on master. We can expose the read only methods in TableDescritors to CPs so user can get the table descriptor directly. 
 Expose TableDescriptors to master coprocessor",13136371,"Error is:


java.lang.AssertionError: found exception: java.lang.NullPointerException via CODE-BUG: Uncaught runtime exception: pid=154, state=RUNNABLE:SPLIT_TABLE_REGION_CREATE_DAUGHTER_REGIONS; SplitTableRegionProcedure table=testRecoveryAndDoubleExecution, parent=3d8d459ba395c2cf6b1e5c71aca92cfd, daughterA=c6531c10effa8e542159ab82a87bd75e, daughterB=ee34a9af88273b6c06e1a688fc50ed6e:java.lang.NullPointerException: 
	at org.apache.hadoop.hbase.master.assignment.TestSplitTableRegionProcedure.testRecoveryAndDoubleExecution(TestSplitTableRegionProcedure.java:411)

Exception from the output file:


2018-02-05 18:00:48,205 ERROR [PEWorker-1] procedure2.ProcedureExecutor(1480): CODE-BUG: Uncaught runtime exception: pid=19, state=RUNNABLE:SPLIT_TABLE_REGION_CREATE_DAUGHTER_REGIONS; SplitTableRegionProcedure table=testSplitWithoutPONR, parent=57114194fb486a3988b232bcf10eb177, daughterA=749aa83c03b8f7c6b642cd73c5b51e43, daughterB=a53ec69e8dd2cfa6c0be2b9a7eb271bb
java.lang.NullPointerException
	at org.apache.hadoop.hbase.master.assignment.SplitTableRegionProcedure.splitStoreFiles(SplitTableRegionProcedure.java:617)
	at org.apache.hadoop.hbase.master.assignment.SplitTableRegionProcedure.createDaughterRegions(SplitTableRegionProcedure.java:541)
	at org.apache.hadoop.hbase.master.assignment.SplitTableRegionProcedure.executeFromState(SplitTableRegionProcedure.java:241)
	at org.apache.hadoop.hbase.master.assignment.SplitTableRegionProcedure.executeFromState(SplitTableRegionProcedure.java:89)
	at org.apache.hadoop.hbase.procedure2.StateMachineProcedure.execute(StateMachineProcedure.java:180)
	at org.apache.hadoop.hbase.procedure2.Procedure.doExecute(Procedure.java:845)
	at org.apache.hadoop.hbase.procedure2.ProcedureExecutor.execProcedure(ProcedureExecutor.java:1455)
	at org.apache.hadoop.hbase.procedure2.ProcedureExecutor.executeProcedure(ProcedureExecutor.java:1224)
	at org.apache.hadoop.hbase.procedure2.ProcedureExecutor.access$800(ProcedureExecutor.java:78)
	at org.apache.hadoop.hbase.procedure2.ProcedureExecutor$WorkerThread.run(ProcedureExecutor.java:1734)

Value of 'htd' is null asitis initialized in the constructor but when the object is deserialized its null.
 
 TestSplitTableRegionProcedure#testSplitWithoutPONR() and testRecoveryAndDoubleExecution() are failing with NPE",No
13220838,"As we have already deprecated the same methods in our Admin interface. 
 Deprecated isTableAvailableWithSplit method in thrift",13209330,"The one in the Admin interface has already been marked as deprecated but in thrift it is still there. 
 Deprecated isTableAvailableWithSplit method in thrift module",yes
13255898,"https://orc.apache.org/docs/releases.html
 
 Update ORC to version 1.6",13206641,"

  public static String generatePath(Path baseURI, String filename) {
    String path = new String(baseURI + Path.SEPARATOR + filename);
    return path;
  }

  public static String generateFileName(Byte tag, String bigBucketFileName) {
    String fileName = new String(""MapJoin-"" + tag + ""-"" + bigBucketFileName + suffix);
    return fileName;
  }


It's a bit odd to be performing string concatenation and then wrapping the results in a new string.  This is creating superfluous String objects.  
 Remove Extra String Object",No
13254661,"Is doing the release. We need to update the release year from 2018 to 2019.


$ find . -name ""pom.xml"" | xargs grep -n 2018
./hadoop-project/pom.xml:34:    <release-year>2018</release-year>

 
 Update the release year to 2019",13151249,"Missed in HIVE-18859 
 Update golden files for negative tests",No
